date,variable,strat,type,median,mean,sd,upper,lower,bottom,top
2020-10-14,reported_cases,NA,positivity-adjusted reported cases,1,454488.1666666667,1574372.092720017,2,0,0,38
2020-10-15,reported_cases,NA,positivity-adjusted reported cases,5.5,8835100.916666666,30605500.29422805,6,0,0,539
2020-10-16,reported_cases,NA,positivity-adjusted reported cases,1,2.5833333333333335,4.010403138505321,1,0,0,6
2020-10-17,reported_cases,NA,positivity-adjusted reported cases,0.5,515728.5833333333,1786530.864887257,1,0,0,5
2020-10-18,reported_cases,NA,positivity-adjusted reported cases,1.5,562191.4166666666,1947447.570281323,2,0,0,111
2020-10-19,reported_cases,NA,positivity-adjusted reported cases,1,1993851.3333333333,6305201.204468165,1,0,0,10270
2020-10-20,reported_cases,NA,positivity-adjusted reported cases,2.5,2067973.6666666667,4833622.377119751,3,0,0,10270
2020-10-21,reported_cases,NA,positivity-adjusted reported cases,0,11495.5,39814.65212136676,0,0,0,12
2020-10-22,reported_cases,NA,positivity-adjusted reported cases,2,3185.3333333333335,11005.991784092661,2,0,0,67
2020-10-23,reported_cases,NA,positivity-adjusted reported cases,2,2636475.5833333335,6330045.78271277,2,0,0,10270
2020-10-24,reported_cases,NA,positivity-adjusted reported cases,2,1682115.0833333333,4252915.296331585,3,0,0,10270
2020-10-25,reported_cases,NA,positivity-adjusted reported cases,1,8098.583333333333,28028.813828429982,2,0,0,68
2020-10-26,reported_cases,NA,positivity-adjusted reported cases,3,16694820.833333334,57825863.80579869,3,0,0,10270
2020-10-27,reported_cases,NA,positivity-adjusted reported cases,0,1609475.6666666667,4706796.421610086,0,0,0,10270
2020-10-28,reported_cases,NA,positivity-adjusted reported cases,0,334195.9166666667,1063256.062335919,0,0,0,10270
2020-10-29,reported_cases,NA,positivity-adjusted reported cases,1,87.91666666666667,296.0971764113732,1,0,0,19
2020-10-30,reported_cases,NA,positivity-adjusted reported cases,1.5,1740.5,5999.393249624196,2,0,0,79
2020-10-31,reported_cases,NA,positivity-adjusted reported cases,1,24914.916666666668,86304.02405182437,1,0,0,3
2020-11-01,reported_cases,NA,positivity-adjusted reported cases,2,2262716.25,7835943.556049742,2,0,0,7405
2020-11-02,reported_cases,NA,positivity-adjusted reported cases,0.5,1.0833333333333333,1.2401124093721456,1,0,0,3
2020-11-03,reported_cases,NA,positivity-adjusted reported cases,0.5,1009716.5,3495853.8454953777,1,0,0,6049
2020-04-18,infections,NA,Infections,1.0335340658986936,1.081822224591135,0.1571182948230421,1.0343584219512327,0.8830532718880515,0.8830532718880515,1.265070062947767
2020-04-19,infections,NA,Infections,3.220393055109656,3.199389160549355,0.2211651830759725,3.364362566884163,3.2079824429979493,2.8642628207781065,3.4266824129452904
2020-04-20,infections,NA,Infections,7.487986809472487,7.2585151989234875,0.5612938803151548,7.640603784685938,7.463426979304655,6.39885742065989,7.688750366038644
2020-04-21,infections,NA,Infections,9.818915785518763,9.6455741886174,0.8048609039010454,10.217239867586892,9.454773094768642,8.426765701282298,10.344986572406617
2020-04-22,infections,NA,Infections,12.160013307418641,11.849954258999505,1.0484929433094785,12.45064420397902,11.043761714966442,10.447784088978969,13.230628072906743
2020-04-23,infections,NA,Infections,14.460461610526044,14.487789530074767,1.228332804421744,14.80350973066675,14.260101515177494,13.230970238304947,16.813365621171975
2020-04-24,infections,NA,Infections,16.10618909598073,16.04141671158312,0.9796689483745845,16.147236909534854,14.861853151210365,14.861853151210365,17.02285997209435
2020-04-25,infections,NA,Infections,16.989924034551052,16.427096850925352,1.923120198745343,17.05342267677512,15.209686110316937,13.823351055084233,19.05757273666184
